Nitrogen,Phosphorus,Potassium,Temperature,Rainfall,pH,Soil_color,Crop,Fertilizer
75,50,100,20,1000,6.5,Black,Sugarcane,Urea
80,50,100,20,1000,6.5,Black,Sugarcane,Urea
85,50,100,20,1000,6.5,Black,Sugarcane,Urea
90,50,100,20,1000,6.5,Black,Sugarcane,Urea
95,50,100,20,1000,6.5,Black,Sugarcane,Urea
100,50,100,20,1000,6.5,Black,Sugarcane,Urea
75,55,105,25,1100,7,Black,Sugarcane,Urea
80,55,105,25,1100,7,Black,Sugarcane,Urea
85,55,105,25,1100,7,Black,Sugarcane,Urea
90,55,105,25,1100,7,Black,Sugarcane,Urea
95,55,105,25,1100,7,Black,Sugarcane,Urea
100,55,105,25,1100,7,Black,Sugarcane,Urea
75,60,110,30,1200,7.5,Black,Sugarcane,Urea
80,60,110,30,1200,7.5,Black,Sugarcane,Urea
85,60,110,30,1200,7.5,Black,Sugarcane,Urea
90,60,110,30,1200,7.5,Black,Sugarcane,Urea
95,60,110,30,1200,7.5,Black,Sugarcane,Urea
100,60,110,30,1200,7.5,Black,Sugarcane,Urea
75,50,115,35,1300,6.5,Black,Sugarcane,Urea
80,50,115,35,1300,6.5,Black,Sugarcane,Urea
85,50,115,35,1300,6.5,Black,Sugarcane,Urea
90,50,115,35,1300,6.5,Black,Sugarcane,Urea
95,50,115,35,1300,6.5,Black,Sugarcane,Urea
100,50,115,35,1300,6.5,Black,Sugarcane,Urea
75,55,100,20,1400,7,Black,Sugarcane,DAP
80,55,100,20,1400,7,Black,Sugarcane,DAP
85,55,100,20,1400,7,Black,Sugarcane,DAP
90,55,100,20,1400,7,Black,Sugarcane,DAP
95,55,100,20,1400,7,Black,Sugarcane,DAP
100,55,100,20,1400,7,Black,Sugarcane,DAP
75,60,105,25,1500,7.5,Black,Sugarcane,DAP
80,60,105,25,1500,7.5,Black,Sugarcane,DAP
85,60,105,25,1500,7.5,Black,Sugarcane,DAP
90,60,105,25,1500,7.5,Black,Sugarcane,DAP
95,60,105,25,1500,7.5,Black,Sugarcane,DAP
100,60,105,25,1500,7.5,Black,Sugarcane,DAP
75,50,110,30,1000,6.5,Black,Sugarcane,DAP
80,50,110,30,1000,6.5,Black,Sugarcane,DAP
85,50,110,30,1000,6.5,Black,Sugarcane,DAP
90,50,110,30,1000,6.5,Black,Sugarcane,DAP
95,50,110,30,1000,6.5,Black,Sugarcane,DAP
100,50,110,30,1000,6.5,Black,Sugarcane,DAP
75,55,115,35,1100,7,Black,Sugarcane,DAP
80,55,115,35,1100,7,Black,Sugarcane,DAP
85,55,115,35,1100,7,Black,Sugarcane,DAP
90,55,115,35,1100,7,Black,Sugarcane,DAP
95,55,115,35,1100,7,Black,Sugarcane,DAP
100,55,115,35,1100,7,Black,Sugarcane,DAP
75,60,100,20,1200,7.5,Black,Sugarcane,MOP
80,60,100,20,1200,7.5,Black,Sugarcane,MOP
85,60,100,20,1200,7.5,Black,Sugarcane,MOP
90,60,100,20,1200,7.5,Black,Sugarcane,MOP
95,60,100,20,1200,7.5,Black,Sugarcane,MOP
100,60,100,20,1200,7.5,Black,Sugarcane,MOP
75,50,105,25,1300,6.5,Black,Sugarcane,MOP
80,50,105,25,1300,6.5,Black,Sugarcane,MOP
85,50,105,25,1300,6.5,Black,Sugarcane,MOP
90,50,105,25,1300,6.5,Black,Sugarcane,MOP
95,50,105,25,1300,6.5,Black,Sugarcane,MOP
100,50,105,25,1300,6.5,Black,Sugarcane,MOP
75,55,110,30,1400,7,Black,Sugarcane,MOP
80,55,110,30,1400,7,Black,Sugarcane,MOP
85,55,110,30,1400,7,Black,Sugarcane,MOP
90,55,110,30,1400,7,Black,Sugarcane,MOP
95,55,110,30,1400,7,Black,Sugarcane,MOP
100,55,110,30,1400,7,Black,Sugarcane,MOP
75,60,115,35,1500,7.5,Black,Sugarcane,MOP
80,60,115,35,1500,7.5,Black,Sugarcane,MOP
85,60,115,35,1500,7.5,Black,Sugarcane,MOP
90,60,115,35,1500,7.5,Black,Sugarcane,MOP
95,60,115,35,1500,7.5,Black,Sugarcane,MOP
100,60,115,35,1500,7.5,Black,Sugarcane,MOP
20,25,25,25,600,6.5,Black,Jowar,10:26:26 NPK
25,25,25,25,600,6.5,Black,Jowar,10:26:26 NPK
30,25,25,25,600,6.5,Black,Jowar,10:26:26 NPK
35,25,25,25,600,6.5,Black,Jowar,10:26:26 NPK
40,25,25,25,600,6.5,Black,Jowar,10:26:26 NPK
20,30,30,30,700,7,Black,Jowar,10:26:26 NPK
25,30,30,30,700,7,Black,Jowar,10:26:26 NPK
30,30,30,30,700,7,Black,Jowar,10:26:26 NPK
35,30,30,30,700,7,Black,Jowar,10:26:26 NPK
40,30,30,30,700,7,Black,Jowar,10:26:26 NPK
20,35,35,25,800,7.5,Black,Jowar,10:26:26 NPK
25,35,35,25,800,7.5,Black,Jowar,10:26:26 NPK
30,35,35,25,800,7.5,Black,Jowar,10:26:26 NPK
35,35,35,25,800,7.5,Black,Jowar,10:26:26 NPK
40,35,35,25,800,7.5,Black,Jowar,10:26:26 NPK
20,25,40,30,600,6.5,Black,Jowar,10:26:26 NPK
25,25,40,30,600,6.5,Black,Jowar,10:26:26 NPK
30,25,40,30,600,6.5,Black,Jowar,10:26:26 NPK
35,25,40,30,600,6.5,Black,Jowar,10:26:26 NPK
40,25,40,30,600,6.5,Black,Jowar,10:26:26 NPK
20,30,25,25,700,7,Black,Jowar,Urea
25,30,25,25,700,7,Black,Jowar,Urea
30,30,25,25,700,7,Black,Jowar,Urea
35,30,25,25,700,7,Black,Jowar,Urea
40,30,25,25,700,7,Black,Jowar,Urea
20,35,30,30,800,7.5,Black,Jowar,Urea
25,35,30,30,800,7.5,Black,Jowar,Urea
30,35,30,30,800,7.5,Black,Jowar,Urea
35,35,30,30,800,7.5,Black,Jowar,Urea
40,35,30,30,800,7.5,Black,Jowar,Urea
20,25,35,25,600,6.5,Black,Jowar,Urea
25,25,35,25,600,6.5,Black,Jowar,Urea
30,25,35,25,600,6.5,Black,Jowar,Urea
35,25,35,25,600,6.5,Black,Jowar,Urea
40,25,35,25,600,6.5,Black,Jowar,Urea
20,30,40,30,700,7,Black,Jowar,Urea
25,30,40,30,700,7,Black,Jowar,Urea
30,30,40,30,700,7,Black,Jowar,Urea
35,30,40,30,700,7,Black,Jowar,Urea
40,30,40,30,700,7,Black,Jowar,Urea
20,35,25,25,800,7.5,Black,Jowar,SSP
25,35,25,25,800,7.5,Black,Jowar,SSP
30,35,25,25,800,7.5,Black,Jowar,SSP
35,35,25,25,800,7.5,Black,Jowar,SSP
40,35,25,25,800,7.5,Black,Jowar,SSP
20,25,30,30,600,6.5,Black,Jowar,SSP
25,25,30,30,600,6.5,Black,Jowar,SSP
30,25,30,30,600,6.5,Black,Jowar,SSP
35,25,30,30,600,6.5,Black,Jowar,SSP
40,25,30,30,600,6.5,Black,Jowar,SSP
20,30,35,25,700,7,Black,Jowar,SSP
25,30,35,25,700,7,Black,Jowar,SSP
30,30,35,25,700,7,Black,Jowar,SSP
35,30,35,25,700,7,Black,Jowar,SSP
40,30,35,25,700,7,Black,Jowar,SSP
20,35,40,30,800,7.5,Black,Jowar,SSP
25,35,40,30,800,7.5,Black,Jowar,SSP
30,35,40,30,800,7.5,Black,Jowar,SSP
35,35,40,30,800,7.5,Black,Jowar,SSP
40,35,40,30,800,7.5,Black,Jowar,SSP
40,20,20,25,600,6,Black,Jowar,10:26:26 NPK
45,20,20,25,600,6,Black,Jowar,10:26:26 NPK
50,20,20,25,600,6,Black,Jowar,10:26:26 NPK
40,25,25,30,700,6.5,Black,Jowar,10:26:26 NPK
45,25,25,30,700,6.5,Black,Jowar,10:26:26 NPK
50,25,25,30,700,6.5,Black,Jowar,10:26:26 NPK
40,20,25,25,800,7,Black,Jowar,10:26:26 NPK
45,20,25,25,800,7,Black,Jowar,10:26:26 NPK
50,20,25,25,800,7,Black,Jowar,10:26:26 NPK
40,25,20,30,600,7.5,Black,Jowar,10:26:26 NPK
45,25,20,30,600,7.5,Black,Jowar,10:26:26 NPK
50,25,20,30,600,7.5,Black,Jowar,10:26:26 NPK
100,40,50,25,800,6,Red ,Cotton,DAP
105,40,50,25,800,6,Red ,Cotton,DAP
110,40,50,25,800,6,Red ,Cotton,DAP
115,40,50,25,800,6,Red ,Cotton,DAP
120,40,50,25,800,6,Red ,Cotton,DAP
125,40,50,25,800,6,Red ,Cotton,DAP
130,40,50,25,800,6,Red ,Cotton,DAP
135,40,50,25,800,6,Red ,Cotton,DAP
140,40,50,25,800,6,Red ,Cotton,DAP
145,40,50,25,800,6,Red ,Cotton,DAP
150,40,50,25,800,6,Red ,Cotton,DAP
100,45,55,30,900,6.5,Red ,Cotton,DAP
105,45,55,30,900,6.5,Red ,Cotton,DAP
110,45,55,30,900,6.5,Red ,Cotton,DAP
115,45,55,30,900,6.5,Red ,Cotton,DAP
120,45,55,30,900,6.5,Red ,Cotton,DAP
125,45,55,30,900,6.5,Red ,Cotton,DAP
130,45,55,30,900,6.5,Red ,Cotton,DAP
135,45,55,30,900,6.5,Red ,Cotton,DAP
140,45,55,30,900,6.5,Red ,Cotton,DAP
145,45,55,30,900,6.5,Red ,Cotton,DAP
150,45,55,30,900,6.5,Red ,Cotton,DAP
100,50,60,35,1000,7,Red ,Cotton,DAP
105,50,60,35,1000,7,Red ,Cotton,DAP
110,50,60,35,1000,7,Red ,Cotton,DAP
115,50,60,35,1000,7,Red ,Cotton,DAP
120,50,60,35,1000,7,Red ,Cotton,DAP
125,50,60,35,1000,7,Red ,Cotton,DAP
130,50,60,35,1000,7,Red ,Cotton,DAP
135,50,60,35,1000,7,Red ,Cotton,DAP
140,50,60,35,1000,7,Red ,Cotton,DAP
145,50,60,35,1000,7,Red ,Cotton,DAP
150,50,60,35,1000,7,Red ,Cotton,DAP
100,55,65,25,800,7.5,Red ,Cotton,DAP
105,55,65,25,800,7.5,Red ,Cotton,DAP
110,55,65,25,800,7.5,Red ,Cotton,DAP
115,55,65,25,800,7.5,Red ,Cotton,DAP
120,55,65,25,800,7.5,Red ,Cotton,DAP
125,55,65,25,800,7.5,Red ,Cotton,DAP
130,55,65,25,800,7.5,Red ,Cotton,DAP
135,55,65,25,800,7.5,Red ,Cotton,DAP
140,55,65,25,800,7.5,Red ,Cotton,DAP
145,55,65,25,800,7.5,Red ,Cotton,DAP
150,55,65,25,800,7.5,Red ,Cotton,DAP
100,60,70,30,900,6,Red ,Cotton,DAP
105,60,70,30,900,6,Red ,Cotton,DAP
110,60,70,30,900,6,Red ,Cotton,DAP
115,60,70,30,900,6,Red ,Cotton,DAP
120,60,70,30,900,6,Red ,Cotton,DAP
125,60,70,30,900,6,Red ,Cotton,DAP
130,60,70,30,900,6,Red ,Cotton,DAP
135,60,70,30,900,6,Red ,Cotton,DAP
